Date,CO2,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,PI_MF,SI_MF,II_MF,PI_E,SI_E,Employed_total,PI_A,FX_US,FX_CH,FX_CA,FX_SW,FX_JP,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,  SPI_I,SPI_F,  SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,MB,M1,M2,Curr,De_depo,EPI_A,EPI_M,EPI_cement,KOSPI,USCPI
1960-01-01,0.48572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,22.9,24.9,14,8.9,,,,,29.585
1961-01-01,0.54416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,36,39.7,16.6,19.4,,,,,29.90167
1962-01-01,0.63381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,40,49.7,17.9,22.1,,,,,30.25333
1963-01-01,0.75551,,,,,,,,,,,,,,,,,,,,,,,7563,,,,,,,,,,,,,,,,,,,,,,,,27.9,42.1,53.5,18.1,24,,,,,30.63333
1964-01-01,0.77725,,,,,,,,,,,,,,,,,,,,,,,7698,,255.77,713.36,237.08,59.27,,,,,,,,,,,,,,,,,,,32.7,49.1,61.7,24.6,24.5,,,,,31.03833
1965-01-01,0.85603,,,,,,,,,,,,,,,,,,,,,,,8112,46,266.58,744.33,247.25,61.61,,2.611,,,,,,,,,,,,,,,,,48.4,66.9,93.7,31.2,35.7,,,,,31.52833
1966-01-01,1.00483,,,,,,,,,,,,,,,,,,,,,,,8325,49,271.13,757.85,251.86,62.73,,2.905,,,,,,,,,,,,,,,,,80.2,86.4,142,42.2,44.1,,,,,32.47083
1967-01-01,1.14972,,,,,,,,,,,,,,,,,,,,,,,8624,43,270.53,742.87,250.44,62.54,,3.221,,,,,,,,,,,,,,,,,110.9,124.3,229.1,56.4,67.9,,,,,33.375
1968-01-01,1.19108,,,,,,,,,,,,,,,,,,,,,,,9061,44,276.66,662.13,256.72,64.1,,3.568,,,,,,,,,,,,,,,,,156.2,179.9,394,80.2,99.6,,,,,34.79167
1969-01-01,1.33079,,,,,,,,,,,,,,,,,,,,,,,9285,51,288.33,689.01,267.78,66.78,,4.01,,,,,,,,,,,,,,,,,215.8,254.6,609.6,109.7,145,,,,,36.68333
1970-01-01,1.64768,,,,,,,,,,,,,,,,,,,,,,,9617,50,310.58,744.13,297.5,71.66,,4.65,,,,,,,,,,,,,,,,,299.6,334.5,761.5,129.6,204.9,,,,,38.84167
1971-01-01,1.75838,,,,,,,,,,,,,,,,,,,,,,,9946,50,347.68,849.44,343.94,84.69,,5.278,,,,,,,,,,,,21.61,24.96,3.23,,43.96,288.2,386.7,985,158.5,228.2,11.53,70.37,63.42,,40.48333
1972-01-01,1.77318,,,,,,,,,,,,,,,,,,,,,,,10379,52,392.92,980.98,396.89,102.97,,5.895,,,,,,,,,,,,22.89,24.96,4.55,,45.9,427.5,541.1,1315.8,212.6,328.5,11.9,69.02,63.42,,41.80833
1973-01-01,2.10546,,,,,,,,,,,,,,,,,,,,,,,10942,54,398.33,977.32,398.34,126.42,,6.085,,,,,,,,,,,,34.57,29.03,5.97,,53.2,624.1,755.7,1790.6,301.2,454.4,13.81,77.66,66.56,,44.425
